Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ABCB4	"GBD1, MDR2, MDR3, PFIC-3, PGY3"	ENSG00000005471	"ATP binding cassette subfamily B member 4"	P21439	7	87401696-87480435	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Disease variant, Intrahepatic cholestasis"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	16	"liver: 123.2"	"Cell type enriched"	"Detected in some"	10	"Hepatocytes: 204.6"	"Cancer enriched"	"Detected in some"	11	"liver cancer: 16.3"	"Low region specificity"	"Detected in single"			"Group enriched"	"Detected in some"	5	"memory B-cell: 4.4;naive B-cell: 8.1"	"Lineage enriched"	"Detected in many"	7	"B-cells: 8.1"	"Cancer enhanced"	"Detected in some"		"skin cancer: 9.2"	"Colon - Enteric glia cells, Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes, Skin - Fibroblast_1"	"Low region specificity"	"Detected in many"							"HPA049395, HPA053288"	Enhanced		Approved	"Nucleoplasm,Plasma membrane,Focal adhesion sites,Cytosol"		NA	NA			"Cluster 21: B-cells - Adaptive immune response"	"Cluster 62: Liver - Hemostasis"	"Cluster 33: Skin cancer - Membrane components"	"Cluster 13: Hepatocytes - Oxidoreductase activity"	"Nucleoplasm, Plasma membrane"	"Focal adhesion sites, Cytosol"	"HPA049395: AB_2680745, HPA053288: AB_2682102"	"unprognostic (7.92e-2)"	"unprognostic (8.87e-2)"	"unprognostic (1.97e-1)"	"unprognostic (1.90e-1)"	"unprognostic (8.95e-2)"	"unprognostic (1.06e-2)"	"unprognostic (2.35e-3)"	"unprognostic (9.91e-2)"	"unprognostic (3.53e-1)"	"unprognostic (1.19e-1)"	"unprognostic (2.44e-3)"	"unprognostic (8.43e-2)"	"unprognostic (2.83e-2)"	"unprognostic (8.01e-3)"	"unprognostic (7.12e-2)"	"unprognostic (2.11e-2)"	"unprognostic (2.47e-1)"
ABCB6	"EST45597, MTABC3, umat"	ENSG00000115657	"ATP binding cassette subfamily B member 6 (Langereis blood group)"	Q9NP58	2	219209772-219218994	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	Transport	Translocase	"Disease variant, Dyskeratosis congenita, Microphthalmia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in some"		"Astrocytes: 14.2;Excitatory neurons: 12.7;Gastric mucus-secreting cells: 4.8;Inhibitory neurons: 10.6;Oligodendrocyte precursor cells: 13.0;Oligodendrocytes: 5.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA046723, HPA058011"	Approved		Supported	"Nucleoplasm,Golgi apparatus,Plasma membrane,Mitochondria,Cytosol"	"Intracellular and membrane"	NA	NA			"Cluster 3: Plasmacytoid DCs - Unknown function"	"Cluster 59: Non-specific - Translation"	"Cluster 61: Liver - Metabolism"	"Cluster 38: Neurons - Neuronal signaling"	"Golgi apparatus"	"Nucleoplasm, Plasma membrane, Mitochondria, Cytosol"	"HPA046723: AB_10960288, HPA058011: AB_2683578"	"unprognostic (8.04e-2)"	"unprognostic (3.22e-2)"	"unprognostic (4.53e-3)"	"unprognostic (3.19e-2)"	"unprognostic (2.55e-1)"	"unprognostic (9.11e-2)"	"prognostic unfavorable (9.45e-7)"	"unprognostic (2.26e-1)"	"unprognostic (3.62e-2)"	"unprognostic (1.53e-1)"	"unprognostic (1.18e-4)"	"unprognostic (3.02e-3)"	"prognostic unfavorable (1.52e-7)"	"unprognostic (1.51e-1)"	"unprognostic (9.55e-2)"	"unprognostic (7.75e-2)"	"unprognostic (2.30e-1)"
ABCB7	"ABC7, ASAT, Atm1p, EST140535"	ENSG00000131269	"ATP binding cassette subfamily B member 7"	O75027	X	75051048-75156732	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport		"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Liver - Hepatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA034982	Approved		Approved	Mitochondria		NA	NA			"Cluster 12: Non-specific - Basic cellular processes"	"Cluster 8: Non-specific - Mitochondria"	"Cluster 48: Non-specific - RNA binding"	"Cluster 77: Cardiomyocytes - Muscle contraction"	Mitochondria		"HPA034982: AB_10601010"	"unprognostic (1.05e-2)"	"unprognostic (1.45e-1)"	"unprognostic (1.49e-2)"	"unprognostic (1.83e-3)"	"unprognostic (4.44e-3)"	"unprognostic (1.33e-2)"	"unprognostic (6.31e-2)"	"unprognostic (4.39e-2)"	"unprognostic (1.47e-1)"	"unprognostic (2.17e-1)"	"unprognostic (4.14e-2)"	"unprognostic (2.55e-2)"	"prognostic favorable (5.31e-6)"	"unprognostic (1.95e-1)"	"unprognostic (1.27e-1)"	"unprognostic (1.45e-1)"	"unprognostic (1.08e-1)"
ABCC6	"ARA, EST349056, MLP1, MRP6, PXE, URG7"	ENSG00000091262	"ATP binding cassette subfamily C member 6"	O95255	16	16149565-16223522	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Sensory transduction, Transport, Vision"	Translocase	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"liver: 134.2"	"Cell type enhanced"	"Detected in many"		"Cholangiocytes: 19.2;Hepatocytes: 47.3;Proximal enterocytes: 23.7;Proximal tubular cells: 45.8;Respiratory ciliated cells: 17.1"	"Group enriched"	"Detected in many"	5	"liver cancer: 16.7;renal cancer: 5.0"	"Low region specificity"	"Detected in single"			"Immune cell enriched"	"Detected in single"	6	"classical monocyte: 3.4"	"Lineage enriched"	"Detected in single"	7	"monocytes: 3.4"	"Cancer enhanced"	"Detected in many"		"liver cancer: 7.1"	"Adipose visceral - Adipocytes (Visceral), Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Lung - Alveolar cells type 2, Skin - Eccrine sweat gland cells"	"Not detected"	"Not detected"							HPA038105			Supported	"Nucleoplasm,Plasma membrane"		NA	NA			"Cluster 25: Monocytes - Inflammatory response"	"Cluster 85: Liver - Metabolism"	"Cluster 35: Liver cancer - Metabolism"	"Cluster 60: Proximal tubular cells - Absorption"	"Plasma membrane"	Nucleoplasm	"HPA038105: AB_2675835"	"unprognostic (1.32e-1)"	"unprognostic (1.11e-1)"	"unprognostic (5.98e-2)"	"unprognostic (3.15e-2)"	"unprognostic (1.59e-1)"	"unprognostic (3.09e-1)"	"prognostic favorable (3.82e-4)"	"unprognostic (6.54e-3)"	"unprognostic (3.64e-1)"	"unprognostic (9.10e-2)"	"unprognostic (1.30e-1)"	"unprognostic (1.65e-1)"	"unprognostic (1.12e-3)"	"unprognostic (3.42e-1)"	"unprognostic (2.00e-1)"	"unprognostic (4.91e-2)"	"unprognostic (1.41e-1)"
ABCD1	"adrenoleukodystrophy, ALD, ALDP, AMN"	ENSG00000101986	"ATP binding cassette subfamily D member 1"	P33897	X	153724856-153744755	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	Transport	"Hydrolase, Translocase"	"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Proximal enterocytes: 36.4;Sertoli cells: 30.4;Syncytiotrophoblasts: 26.8"	"Cancer enhanced"	"Detected in all"		"melanoma: 36.0"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA035214	Approved					NA	NA			"Cluster 39: Non-specific - mRNA processing"	"Cluster 72: Non-specific - Transcription"	"Cluster 16: Skin cancer - Melanocyte processes"	"Cluster 59: Proximal enterocytes - Transmembrane transport"			"HPA035214: "	"unprognostic (1.90e-2)"	"unprognostic (3.79e-2)"	"unprognostic (2.19e-3)"	"unprognostic (5.57e-3)"	"unprognostic (8.81e-3)"	"unprognostic (1.54e-1)"	"unprognostic (3.37e-3)"	"unprognostic (1.34e-1)"	"unprognostic (6.14e-3)"	"unprognostic (3.40e-2)"	"unprognostic (1.41e-1)"	"unprognostic (6.17e-2)"	"prognostic unfavorable (5.50e-4)"	"unprognostic (4.17e-2)"	"unprognostic (1.17e-1)"	"unprognostic (2.57e-1)"	"unprognostic (4.23e-2)"
ABCD3	"PMP70, PXMP1, ZWS2"	ENSG00000117528	"ATP binding cassette subfamily D member 3"	P28288	1	94418389-94518666	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	Transport	"Hydrolase, Translocase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 126.6"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Breast - Breast glandular cells, Lung - Alveolar cells type 2"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA032026, HPA032027, CAB032516, CAB075749"	Enhanced		Enhanced	Peroxisomes		NA	NA		12000	"Cluster 39: Non-specific - mRNA processing"	"Cluster 41: Intestine & Liver - Lipid metabolism"	"Cluster 41: Non-specific - Cilium assembly"	"Cluster 68: Muller glia cells - Visual perception"	Peroxisomes		"CAB032516: AB_2257637, CAB075749: AB_2665755, HPA032026: AB_2674117, HPA032027: AB_10602103"	"unprognostic (1.41e-2)"	"unprognostic (3.21e-1)"	"prognostic favorable (1.16e-5)"	"unprognostic (1.92e-1)"	"unprognostic (5.42e-2)"	"unprognostic (1.56e-1)"	"unprognostic (1.94e-2)"	"unprognostic (2.54e-2)"	"unprognostic (5.10e-2)"	"unprognostic (3.20e-2)"	"unprognostic (1.01e-1)"	"unprognostic (9.12e-2)"	"prognostic favorable (4.84e-5)"	"unprognostic (5.45e-2)"	"unprognostic (6.20e-2)"	"unprognostic (3.41e-1)"	"unprognostic (1.29e-1)"
ABCD4	"EST352188, P70R, PMP69, PXMP1L"	ENSG00000119688	"ATP binding cassette subfamily D member 4"	O14678	14	74285269-74303055	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport	Translocase	"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA003396	Approved					NA	NA			"Cluster 35: T-regs - Unknown function"	"Cluster 86: Liver & Placenta - Transport via ER"	"Cluster 46: Non-specific - Unknown function"	"Cluster 30: Breast - Lactation"			"HPA003396: AB_1078078"	"unprognostic (3.92e-2)"	"unprognostic (3.02e-1)"	"unprognostic (3.01e-3)"	"unprognostic (5.86e-2)"	"unprognostic (3.69e-1)"	"unprognostic (1.67e-1)"	"unprognostic (5.72e-2)"	"unprognostic (4.34e-2)"	"unprognostic (3.46e-2)"	"unprognostic (4.63e-2)"	"unprognostic (2.21e-3)"	"unprognostic (5.26e-2)"	"unprognostic (2.35e-2)"	"unprognostic (1.25e-1)"	"unprognostic (6.69e-2)"	"unprognostic (7.45e-3)"	"unprognostic (7.93e-3)"
ABCG5	STSL	ENSG00000138075	"ATP binding cassette subfamily G member 5"	Q9H222	2	43812472-43838865	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	69	"intestine: 47.8;liver: 62.0"	"Group enriched"	"Detected in some"	4	"Hepatocytes: 48.7;Paneth cells: 21.1;Proximal enterocytes: 31.9"	"Cancer enriched"	"Detected in some"	23	"liver cancer: 11.7"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Liver - Hepatocytes"	"Not detected"	"Not detected"			"Not detected"	"Not detected"									NA	NA				"Cluster 41: Intestine & Liver - Lipid metabolism"	"Cluster 35: Liver cancer - Metabolism"	"Cluster 13: Hepatocytes - Oxidoreductase activity"				"unprognostic (1.71e-1)"	"unprognostic (5.47e-2)"	"unprognostic (4.01e-1)"	"unprognostic (6.92e-2)"	"unprognostic (2.24e-1)"	"unprognostic (9.97e-2)"	"prognostic favorable (2.60e-5)"	"unprognostic (4.59e-2)"	"unprognostic (3.10e-1)"	"unprognostic (1.38e-3)"	"unprognostic (3.07e-4)"	"unprognostic (1.86e-1)"	"unprognostic (3.07e-1)"	"unprognostic (5.52e-3)"	"unprognostic (8.29e-2)"	"unprognostic (5.31e-2)"	"unprognostic (3.08e-2)"
ABCG8	GBD4	ENSG00000143921	"ATP binding cassette subfamily G member 8"	Q9H221	2	43831942-43882988	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	40	"intestine: 31.5;liver: 63.4"	"Cell type enhanced"	"Detected in some"		"Hepatocytes: 68.3;Paneth cells: 16.5;Proximal enterocytes: 34.4"	"Cancer enriched"	"Detected in some"	30	"liver cancer: 21.6"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Ascending Loop of Henle cells, Liver - Hepatocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			HPA019556	Uncertain		Approved	Vesicles		NA	NA			"Cluster 11: Basophils - Unknown function"	"Cluster 41: Intestine & Liver - Lipid metabolism"	"Cluster 35: Liver cancer - Metabolism"	"Cluster 13: Hepatocytes - Oxidoreductase activity"	Vesicles		"HPA019556: AB_1844444"	"unprognostic (1.99e-1)"	"unprognostic (4.49e-1)"	"unprognostic (3.22e-1)"	"unprognostic (1.37e-1)"	"unprognostic (3.09e-2)"	"unprognostic (2.43e-1)"	"unprognostic (1.99e-3)"	"unprognostic (1.27e-1)"	"unprognostic (6.28e-1)"	"unprognostic (6.14e-3)"	"unprognostic (4.69e-1)"	"unprognostic (1.76e-1)"	"unprognostic (2.68e-1)"	"unprognostic (7.86e-3)"	"unprognostic (5.03e-1)"		"unprognostic (1.50e-1)"
ABHD12	"ABHD12A, BEM46L2, C20orf22, dJ965G21.2, DKFZP434P106"	ENSG00000100997	"Abhydrolase domain containing 12, lysophospholipase"	Q8N2K0	20	25294742-25390835	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Lipid metabolism"	Hydrolase	"Cataract, Deafness, Disease variant, Neuropathy, Retinitis pigmentosa"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Syncytiotrophoblasts: 151.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Macrophages, Lung - Macrophages, Skeletal muscle - Macrophages, Skin - Keratinocyte (granular), Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA026866	Uncertain					NA	NA			"Cluster 26: Non-specific - Mitochondria"	"Cluster 22: Non-specific - Unknown function"	"Cluster 37: Ovarian cancer RMG-I - Cellular stress response"	"Cluster 69: Macrophages - Innate immune response"			"HPA026866: AB_1844446"	"prognostic unfavorable (3.81e-5)"	"prognostic favorable (1.30e-5)"	"unprognostic (1.32e-1)"	"unprognostic (8.74e-2)"	"unprognostic (3.67e-2)"	"unprognostic (6.56e-2)"	"prognostic unfavorable (7.18e-4)"	"unprognostic (8.51e-2)"	"unprognostic (7.91e-3)"	"unprognostic (2.08e-1)"	"unprognostic (4.08e-2)"	"unprognostic (8.46e-2)"	"unprognostic (1.36e-3)"	"unprognostic (2.45e-1)"	"unprognostic (4.65e-2)"	"unprognostic (1.55e-1)"	"unprognostic (8.11e-3)"
ABHD5	"CGI-58, NCIE2"	ENSG00000011198	"Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"	Q8WTS1	3	43690108-43734371	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Differentiation, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism, Phospholipid biosynthesis, Phospholipid metabolism"	"Acyltransferase, Transferase"	"Cataract, Deafness, Disease variant, Ichthyosis"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"monocytes: 265.7;Syncytiotrophoblasts: 488.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in all"		"basophil: 67.8;neutrophil: 42.5"	"Lineage enriched"	"Detected in all"	5	"granulocytes: 67.8"	"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Macrophages, Kidney - Endothelial cells, Testis - Spermatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB020685, HPA035851, HPA035852"	Approved		Supported	Nucleoplasm,Vesicles,Cytosol		NA	NA			"Cluster 38: Basophils - Unknown function"	"Cluster 31: Skin - Epidermis development"	"Cluster 32: Myeloid leukemia - Oxygen transport"	"Cluster 19: Macrophages - Innate immune response"	"Vesicles, Cytosol"	Nucleoplasm	"CAB020685: , HPA035851: AB_10671942, HPA035852: AB_10672073"	"unprognostic (2.58e-1)"	"unprognostic (2.73e-1)"	"prognostic favorable (8.89e-4)"	"unprognostic (1.07e-1)"	"unprognostic (1.75e-2)"	"unprognostic (2.26e-1)"	"unprognostic (6.13e-2)"	"unprognostic (2.40e-2)"	"unprognostic (5.33e-2)"	"unprognostic (3.50e-3)"	"unprognostic (2.56e-2)"	"unprognostic (4.13e-3)"	"prognostic favorable (9.17e-5)"	"unprognostic (2.48e-1)"	"unprognostic (8.87e-2)"	"unprognostic (4.18e-2)"	"unprognostic (4.18e-2)"
ACACA	"ACAC, ACC, ACC1"	ENSG00000278540	"Acetyl-CoA carboxylase alpha"	Q13085	17	37084992-37406836	"Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism"	"Allosteric enzyme, Ligase, Multifunctional enzyme"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Astrocytes: 133.8;Excitatory neurons: 227.5;Inhibitory neurons: 193.1;Oligodendrocyte precursor cells: 173.3;Oligodendrocytes: 176.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Lung - Alveolar cells type 2, Prostate - Prostate glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB013715, HPA036650, HPA063018"	Approved		Supported	"Nucleoli fibrillar center,Actin filaments,Cytosol"		NA	NA		110000	"Cluster 30: Non-specific - Translation"	"Cluster 18: Non-specific - Mitochondria"	"Cluster 24: Prostate cancer - Lipid metabolism"	"Cluster 38: Neurons - Neuronal signaling"	Cytosol	"Nucleoli fibrillar center, Actin filaments"	"CAB013715: , HPA036650: AB_2675228, HPA063018: AB_2684922"	"unprognostic (1.96e-2)"	"unprognostic (1.07e-2)"	"unprognostic (3.04e-2)"	"unprognostic (1.10e-1)"	"unprognostic (4.86e-2)"	"unprognostic (1.19e-1)"	"prognostic unfavorable (1.24e-5)"	"unprognostic (8.81e-2)"	"unprognostic (6.56e-2)"	"unprognostic (2.38e-3)"	"unprognostic (3.38e-1)"	"unprognostic (2.24e-1)"	"unprognostic (6.72e-2)"	"unprognostic (1.18e-1)"	"unprognostic (4.89e-1)"	"unprognostic (4.49e-2)"	"unprognostic (2.03e-2)"
ACADM	"ACAD1, MCAD, MCADH"	ENSG00000117054	"Acyl-CoA dehydrogenase medium chain"	P11310	1	75724431-75787575	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 367.3;skeletal muscle: 380.0;tongue: 475.9"	"Group enriched"	"Detected in all"	4	"Cardiomyocytes: 640.9;Distal tubular cells: 236.3;Hepatocytes: 282.5;Proximal tubular cells: 529.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose visceral - Adipocytes (Visceral), Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skeletal muscle - Skeletal myocytes, Skin - Sebaceous gland cells, Testis - Spermatogonia, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA006198, HPA026542"	Enhanced		Enhanced	Mitochondria		NA	NA		930000	"Cluster 19: B-cells - Humoral immune response"	"Cluster 8: Non-specific - Mitochondria"	"Cluster 64: Lymphoma - Humoral immune response"	"Cluster 60: Proximal tubular cells - Absorption"	Mitochondria		"HPA006198: AB_1078087, HPA026542: AB_1844469"	"unprognostic (9.04e-3)"	"unprognostic (2.36e-1)"	"prognostic favorable (7.30e-4)"	"unprognostic (5.09e-3)"	"unprognostic (1.61e-3)"	"unprognostic (5.68e-2)"	"unprognostic (6.75e-2)"	"unprognostic (1.11e-1)"	"unprognostic (8.02e-2)"	"unprognostic (4.95e-2)"	"unprognostic (9.40e-3)"	"unprognostic (3.35e-1)"	"prognostic favorable (3.83e-8)"	"unprognostic (1.27e-1)"	"unprognostic (4.09e-2)"	"unprognostic (3.56e-2)"	"unprognostic (1.24e-1)"
