Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ABL1	"ABL, c-ABL, JTK7, p150"	ENSG00000097007	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	P00519	9	130713016-130887675	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, RAS pathway related proteins"	"Apoptosis, Autophagy, Cell adhesion, DNA damage, DNA repair, Endocytosis"	"DNA-binding, Kinase, Transferase, Tyrosine-protein kinase"	"Cancer-related genes, Disease variant, FDA approved drug targets, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Oligodendrocytes: 109.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Breast - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB002686, HPA027251, HPA027280, HPA028409"	Supported		Enhanced	"Nucleoplasm,Nuclear bodies"		Yes	No			"Cluster 37: B-cells - Transcription"	"Cluster 12: Smooth muscle tissue - Mixed function"	"Cluster 55: Non-specific - Unknown function"	"Cluster 65: Fibroblasts - ECM organization"	Nucleoplasm	"Nuclear bodies"	"CAB002686: , HPA027251: AB_1844453, HPA027280: AB_1844454, HPA028409: AB_10601011"	"unprognostic (4.82e-2)"	"unprognostic (3.99e-2)"	"unprognostic (5.55e-2)"	"unprognostic (4.72e-2)"	"unprognostic (1.16e-1)"	"unprognostic (1.46e-1)"	"unprognostic (3.75e-3)"	"unprognostic (1.89e-3)"	"unprognostic (2.34e-1)"	"unprognostic (2.54e-2)"	"unprognostic (1.09e-2)"	"unprognostic (1.48e-1)"	"unprognostic (3.96e-3)"	"unprognostic (1.10e-2)"	"unprognostic (1.47e-1)"	"unprognostic (1.22e-1)"	"unprognostic (1.06e-1)"
ABL2	"ABLL, ARG"	ENSG00000143322	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	P42684	1	179099330-179229684	"Cancer-related genes, Enzymes, Predicted intracellular proteins, RAS pathway related proteins"	"Cell adhesion"	"Kinase, Transferase, Tyrosine-protein kinase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Langerhans cells: 234.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in single"			"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in all"			"Prostate - Endothelial cells, Testis - Spermatocytes, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA001866, CAB017106, HPA072754"	Uncertain		Approved	Nucleoplasm,Vesicles		NA	NA			"Cluster 6: Non-specific - Transcription"	"Cluster 57: Non-specific - Angiogenesis"	"Cluster 3: HUVEC & TIME - Signal transduction"	"Cluster 75: Myeloid cells - Innate immune response"	Nucleoplasm	Vesicles	"CAB017106: , HPA001866: AB_1078082, HPA072754: AB_2732212"	"unprognostic (3.05e-1)"	"prognostic unfavorable (3.50e-4)"	"unprognostic (1.07e-1)"	"unprognostic (4.71e-2)"	"unprognostic (9.45e-2)"	"unprognostic (8.23e-3)"	"unprognostic (1.91e-2)"	"unprognostic (4.81e-3)"	"unprognostic (1.26e-1)"	"unprognostic (6.98e-2)"	"unprognostic (1.12e-1)"	"unprognostic (3.73e-1)"	"prognostic unfavorable (1.78e-7)"	"unprognostic (4.76e-2)"	"unprognostic (4.14e-2)"	"unprognostic (6.08e-2)"	"prognostic unfavorable (8.40e-4)"
ACAP1	"CENTB1, KIAA0050"	ENSG00000072818	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"	Q15027	17	7336529-7351477	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"	"Protein transport, Transport"	"GTPase activation"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 41.0;intestine: 43.3;lymphoid tissue: 96.0"	"Cell type enriched"	"Detected in many"	10	"Late spermatids: 3052.4"	"Low cancer specificity"	"Detected in all"			"Not detected"	"Not detected"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Group enriched"	"Detected in some"	84	"Leukemia: 30.1;lymphoma: 34.7;Myeloma: 16.8"	"Adipose subcutaneous - T-cells, Adipose visceral - T-cells, Breast - T-cells, Colon - T-cells, Kidney - T-cells, Liver - T-cells, Prostate - T-cells, Skin - T-cells, Testis - Late spermatids, Thyroid - T-cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			HPA075570	Approved		Uncertain	"Golgi apparatus"		NA	NA			"Cluster 33: Neutrophils - Chromatin organization"	"Cluster 2: Immune cells - Immune response"	"Cluster 54: Lymphoma - Cytokine signaling"	"Cluster 51: Late spermatids - Spermatogenesis"	"Golgi apparatus"		"HPA075570: AB_2732295"	"unprognostic (1.20e-2)"	"prognostic favorable (3.66e-4)"	"unprognostic (2.49e-1)"	"prognostic favorable (2.97e-5)"	"unprognostic (4.43e-4)"	"prognostic favorable (4.17e-5)"	"unprognostic (5.66e-3)"	"unprognostic (1.11e-2)"	"unprognostic (4.67e-2)"	"unprognostic (2.48e-2)"	"unprognostic (1.42e-2)"	"unprognostic (1.91e-1)"	"prognostic unfavorable (1.65e-10)"	"unprognostic (1.14e-1)"	"unprognostic (5.58e-2)"	"unprognostic (2.90e-1)"	"unprognostic (8.61e-3)"
ACKR3	"CMKOR1, CXCR7, GPR159, RDC1"	ENSG00000144476	"Atypical chemokine receptor 3"	P25106	2	236567787-236582354	"Cancer-related genes, G-protein coupled receptors, Predicted membrane proteins"	"Cell adhesion, Host-virus interaction"	"Developmental protein, G-protein coupled receptor, Receptor, Transducer"	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Basal respiratory cells: 35.7;Endothelial cells: 42.3;Fibroblasts: 146.8;Smooth muscle cells: 51.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Group enriched"	"Detected in many"	7	"NK-cells: 4.7;T-cells: 3.8"	"Low cancer specificity"	"Detected in many"			"Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA032003, HPA049718"	Approved		Supported	"Vesicles,Plasma membrane"		NA	NA			"Cluster 22: NK-cells - Unknown function"	"Cluster 82: Adipose tissue - ECM organization"	"Cluster 68: Kidney - Mixed function"	"Cluster 65: Fibroblasts - ECM organization"	"Vesicles, Plasma membrane"		"HPA032003: AB_2674107, HPA049718: AB_2680859"	"unprognostic (1.65e-2)"	"prognostic unfavorable (4.64e-4)"	"unprognostic (2.50e-1)"	"unprognostic (1.92e-3)"	"unprognostic (2.10e-1)"	"unprognostic (1.23e-1)"	"unprognostic (7.34e-3)"	"unprognostic (1.55e-2)"	"unprognostic (1.85e-2)"	"unprognostic (1.35e-1)"	"unprognostic (9.70e-3)"	"unprognostic (6.69e-2)"	"prognostic unfavorable (1.76e-6)"	"prognostic unfavorable (2.01e-4)"	"unprognostic (9.71e-2)"	"unprognostic (8.57e-3)"	"prognostic unfavorable (2.93e-4)"
ACLY	"ACL, ATPCL, CLATP"	ENSG00000131473	"ATP citrate lyase"	P53396	17	41866917-41930542	"Cancer-related genes, Citric acid cycle related proteins, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Lipid biosynthesis, Lipid metabolism"	Transferase	"Cancer-related genes, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Colon - Macrophages, Prostate - Prostate glandular cells, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB007783, HPA022434, HPA022953, HPA022959, HPA028758"	Enhanced		Enhanced	Nucleoplasm,Cytosol		No	No		3100000	"Cluster 44: Non-specific - Transcription"	"Cluster 73: Brain - Neuropeptide signaling"	"Cluster 47: Retina - Visual perception"	"Cluster 60: Proximal tubular cells - Absorption"	Cytosol	Nucleoplasm	"CAB007783: AB_562242, HPA022434: AB_1844513, HPA022953: AB_1844514, HPA022959: AB_1844515, HPA028758: AB_10603575"	"unprognostic (2.21e-2)"	"prognostic unfavorable (1.79e-4)"	"unprognostic (1.41e-1)"	"unprognostic (1.21e-2)"	"unprognostic (2.83e-1)"	"unprognostic (8.94e-3)"	"prognostic unfavorable (3.66e-4)"	"unprognostic (3.38e-3)"	"unprognostic (4.11e-2)"	"unprognostic (5.94e-3)"	"unprognostic (2.13e-2)"	"unprognostic (3.01e-2)"	"unprognostic (3.88e-3)"	"unprognostic (1.66e-1)"	"unprognostic (9.36e-2)"	"unprognostic (3.90e-2)"	"unprognostic (4.67e-3)"
ACO1	"IREB1, IREBP, IRP1"	ENSG00000122729	"Aconitase 1"	P21399	9	32384603-32454769	"Cancer-related genes, Citric acid cycle related proteins, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Tricarboxylic acid cycle"	"Lyase, RNA-binding"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 134.5"	"Cell type enhanced"	"Detected in all"		"Hepatocytes: 176.4;Proximal tubular cells: 146.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Kidney - Proximal tubular cells, Liver - Hepatocytes, Prostate - Smooth muscle cells, Skin - Sebaceous gland cells, Stomach - Macrophages"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA019371, HPA024157"	Enhanced		Supported	Mitochondria,Cytosol		NA	NA		10000000	"Cluster 38: Basophils - Unknown function"	"Cluster 81: Kidney & Liver - Metabolism"	"Cluster 20: Connective tissue cells - ECM organization"	"Cluster 60: Proximal tubular cells - Absorption"	"Mitochondria, Cytosol"		"HPA019371: AB_1844519, HPA024157: AB_1844520"	"unprognostic (2.11e-1)"	"unprognostic (5.61e-2)"	"unprognostic (8.38e-2)"	"unprognostic (9.12e-2)"	"unprognostic (2.63e-1)"	"unprognostic (3.12e-2)"	"unprognostic (4.25e-3)"	"unprognostic (2.61e-2)"	"unprognostic (1.37e-1)"	"unprognostic (1.19e-1)"	"unprognostic (2.55e-1)"	"unprognostic (3.08e-1)"	"prognostic favorable (5.73e-5)"	"unprognostic (2.54e-1)"	"unprognostic (6.58e-2)"	"unprognostic (1.65e-1)"	"unprognostic (3.23e-2)"
ACP3	"ACP-3, ACPP, PAP, TM-PAP"	ENSG00000014257	"Acid phosphatase 3"	P15309	3	132317369-132368298	"Cancer-related genes, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Lipid metabolism"	Hydrolase	"Cancer-related genes, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	76	"prostate: 3643.7"	"Cell type enriched"	"Detected in many"	444	"Prostatic glandular cells: 16978.5"	"Cancer enriched"	"Detected in many"	275	"prostate cancer: 1227.2"	"Low region specificity"	"Detected in many"			"Immune cell enhanced"	"Detected in many"		"eosinophil: 139.7"	"Lineage enhanced"	"Detected in many"		"granulocytes: 139.7"	"Cancer enriched"	"Detected in many"	38	"prostate cancer: 274.8"	"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Breast - Breast glandular cells, Lung - Alveolar cells type 2, Prostate - Prostate glandular cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"CAB000071, HPA004335, HPA063916"	Enhanced				"Secreted to blood"	NA	NA	460000	480000	"Cluster 45: Eosinophils - Innate immune response"	"Cluster 51: Non-specific - Unknown function"	"Cluster 24: Prostate cancer - Lipid metabolism"	"Cluster 73: Prostatic glandular cells - Transcription"			"CAB000071: , HPA004335: AB_1079684, HPA063916: AB_2685152"	"unprognostic (6.67e-2)"	"unprognostic (4.70e-2)"	"unprognostic (1.76e-1)"	"unprognostic (7.77e-2)"	"unprognostic (1.74e-1)"	"unprognostic (2.58e-2)"	"unprognostic (2.46e-1)"	"unprognostic (7.41e-2)"	"unprognostic (1.81e-1)"	"unprognostic (3.78e-3)"	"unprognostic (2.14e-1)"	"unprognostic (5.95e-2)"	"unprognostic (9.38e-2)"	"unprognostic (1.35e-1)"	"unprognostic (1.18e-1)"	"unprognostic (3.91e-2)"	"unprognostic (1.71e-1)"
ACSL3	"ACS3, FACL3, PRO2194"	ENSG00000123983	"Acyl-CoA synthetase long chain family member 3"	O95573	2	222860942-222944639	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"parathyroid gland: 172.1"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Prostate - Prostate glandular cells, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA011315, HPA071021"	Approved		Approved	"Nucleoli,Nucleoli rim,Lipid droplets"		NA	NA		37000	"Cluster 14: Monocytes - Unknown function"	"Cluster 48: Parathyroid gland - membrane proteins"	"Cluster 24: Prostate cancer - Lipid metabolism"	"Cluster 75: Myeloid cells - Innate immune response"	"Nucleoli, Nucleoli rim"	"Lipid droplets"	"HPA011315: AB_1848344, HPA071021: AB_2686335"	"unprognostic (1.87e-1)"	"unprognostic (5.64e-2)"	"unprognostic (2.36e-1)"	"unprognostic (9.35e-3)"	"unprognostic (7.53e-2)"	"unprognostic (2.07e-2)"	"prognostic unfavorable (2.75e-4)"	"prognostic unfavorable (8.78e-4)"	"unprognostic (3.90e-2)"	"unprognostic (2.50e-1)"	"unprognostic (2.64e-1)"	"unprognostic (4.26e-2)"	"unprognostic (1.17e-3)"	"unprognostic (1.36e-1)"	"unprognostic (2.72e-1)"	"unprognostic (2.65e-1)"	"unprognostic (1.60e-1)"
ACVR1	"ACVR1A, ACVRLK2, ALK2, SKR1"	ENSG00000115170	"Activin A receptor type 1"	Q04771	2	157736444-157876330	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"		"Kinase, Receptor, Serine/threonine-protein kinase, Transferase"	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Microglial cells: 104.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"T-reg: 6.6"	"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA007505, HPA046514"	Approved		Uncertain	Nucleoli,Cytosol		NA	NA			"Cluster 4: T-regs - Cell cycle regulation"	"Cluster 89: Fibroblasts - ECM organization"	"Cluster 45: Non-specific - Cell proliferation"	"Cluster 65: Fibroblasts - ECM organization"	Nucleoli	Cytosol	"HPA007505: AB_1844752, HPA046514: AB_2732526"	"unprognostic (6.99e-2)"	"unprognostic (3.32e-2)"	"unprognostic (3.02e-1)"	"unprognostic (1.19e-2)"	"unprognostic (2.73e-1)"	"unprognostic (6.09e-2)"	"unprognostic (3.66e-3)"	"unprognostic (1.08e-1)"	"unprognostic (3.99e-1)"	"unprognostic (3.20e-1)"	"unprognostic (2.65e-2)"	"unprognostic (4.29e-2)"	"unprognostic (2.42e-1)"	"unprognostic (3.43e-3)"	"unprognostic (3.17e-1)"	"unprognostic (1.76e-2)"	"prognostic unfavorable (5.17e-4)"
ACVR1B	"ActRIB, ACVRLK4, ALK4, SKR2"	ENSG00000135503	"Activin A receptor type 1B"	P36896	12	51951699-51997078	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"		"Kinase, Receptor, Serine/threonine-protein kinase, Transferase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"eosinophil: 3.9"	"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Skin - Keratinocyte (other), Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB026126, HPA063761"	Approved		Approved	Cytosol		NA	NA			"Cluster 46: Basophils - DNA binding"	"Cluster 87: Intestine & Kidney - Transmembrane transport"	"Cluster 37: Ovarian cancer RMG-I - Cellular stress response"	"Cluster 26: Intestinal epithelial cells - Absorption"	Cytosol		"CAB026126: , HPA063761: AB_2685115"	"unprognostic (8.66e-2)"	"unprognostic (5.72e-2)"	"unprognostic (1.16e-1)"	"unprognostic (3.23e-3)"	"unprognostic (2.34e-1)"	"unprognostic (2.54e-1)"	"unprognostic (1.21e-3)"	"unprognostic (1.00e-1)"	"unprognostic (7.68e-2)"	"unprognostic (5.29e-2)"	"unprognostic (2.56e-1)"	"unprognostic (2.37e-1)"	"unprognostic (4.52e-2)"	"unprognostic (9.02e-2)"	"unprognostic (6.60e-2)"	"unprognostic (8.96e-2)"	"unprognostic (4.79e-2)"
ACVR2A	"ACTRII, ACVR2"	ENSG00000121989	"Activin A receptor type 2A"	P27037	2	147844517-147930826	"Cancer-related genes, Enzymes, Predicted membrane proteins"		"Kinase, Receptor, Serine/threonine-protein kinase, Transferase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 61.5;Inhibitory neurons: 61.9;Oligodendrocyte precursor cells: 81.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Skin - Keratinocyte (other)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA046997	Approved		Approved	Cytosol		NA	NA			"Cluster 48: NK-cells - Unknown function"	"Cluster 31: Skin - Epidermis development"	"Cluster 42: Sarcoma - Muscle contraction"	"Cluster 53: Connective tissue cells - ECM organization"	Cytosol		"HPA046997: AB_10970077"	"unprognostic (4.55e-2)"	"unprognostic (2.26e-2)"	"unprognostic (2.09e-1)"	"unprognostic (7.34e-3)"	"unprognostic (2.75e-1)"	"unprognostic (1.17e-1)"	"unprognostic (4.41e-3)"	"unprognostic (8.73e-3)"	"unprognostic (1.30e-2)"	"unprognostic (3.61e-1)"	"unprognostic (1.34e-2)"	"unprognostic (1.52e-1)"	"prognostic favorable (1.62e-4)"	"unprognostic (1.16e-1)"	"unprognostic (1.40e-1)"	"unprognostic (3.95e-1)"	"unprognostic (3.99e-2)"
ACVR2B	ActR-IIB	ENSG00000114739	"Activin A receptor type 2B"	Q13705	3	38453890-38493142	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted membrane proteins"		"Kinase, Receptor, Serine/threonine-protein kinase, Transferase"	"Cancer-related genes, Disease variant, Heterotaxy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in all"		"testis cancer: 5.3"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in all"		"testis cancer: 14.7"		"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB025115, HPA040384"	Approved					NA	No				"Cluster 54: Non-specific - Microtubule organization"	"Cluster 6: BEWO - Unknown function"	"Cluster 17: Granulosa cells - Transcription regulation"			"CAB025115: , HPA040384: AB_2732484"	"unprognostic (5.11e-2)"	"unprognostic (1.54e-1)"	"unprognostic (3.47e-1)"	"unprognostic (8.73e-2)"	"unprognostic (9.24e-2)"	"unprognostic (2.21e-1)"	"unprognostic (1.32e-2)"	"unprognostic (1.25e-2)"	"unprognostic (1.88e-1)"	"unprognostic (1.53e-2)"	"unprognostic (5.14e-2)"	"unprognostic (1.30e-1)"	"unprognostic (4.08e-3)"	"unprognostic (1.64e-1)"	"unprognostic (1.98e-1)"	"unprognostic (1.83e-1)"	"unprognostic (4.75e-1)"
ADAM10	"CD156C, HsT18717, kuz, MADM"	ENSG00000137845	"ADAM metallopeptidase domain 10"	O14672	15	58588809-58749791	"Cancer-related genes, CD markers, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Notch signaling pathway"	"Hydrolase, Metalloprotease, Protease"	"Alzheimer disease, Amyloidosis, Cancer-related genes, Disease variant, Neurodegeneration"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Oligodendrocytes: 356.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB001709, HPA050670"	Approved		Supported	"Vesicles,Plasma membrane"	"Intracellular and membrane"	NA	NA		690000	"Cluster 8: Neutrophils - Inflammatory response"	"Cluster 3: T-cells - Adaptive immune response"	"Cluster 68: Kidney - Mixed function"	"Cluster 8: Oligodendrocytes - Myelin sheath organization"	"Vesicles, Plasma membrane"		"CAB001709: , HPA050670: "	"unprognostic (1.43e-1)"	"unprognostic (1.38e-1)"	"unprognostic (2.77e-1)"	"unprognostic (5.04e-2)"	"unprognostic (3.09e-1)"	"unprognostic (2.70e-3)"	"unprognostic (7.48e-2)"	"prognostic unfavorable (8.46e-5)"	"unprognostic (3.99e-2)"	"unprognostic (1.19e-1)"	"prognostic unfavorable (1.90e-4)"	"unprognostic (6.69e-2)"	"unprognostic (2.57e-2)"	"unprognostic (2.57e-3)"	"unprognostic (9.14e-2)"	"unprognostic (2.09e-2)"	"unprognostic (1.60e-2)"
ADAM9	"CORD9, KIAA0021, MCMP, MDC9, Mltng"	ENSG00000168615	"ADAM metallopeptidase domain 9"	Q13443	8	38996754-39105445	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"		"Hydrolase, Metalloprotease, Protease"	"Cancer-related genes, Cone-rod dystrophy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Exocrine glandular cells: 174.6;Mucus glandular cells: 174.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"classical monocyte: 4.0"	"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA004000			Approved	"Endoplasmic reticulum,Vesicles"	"Secreted - unknown location"	NA	NA		740000	"Cluster 25: Monocytes - Inflammatory response"	"Cluster 46: Fibroblasts - ECM organization"	"Cluster 68: Kidney - Mixed function"	"Cluster 74: Pancreatic cells - Mixed function"	Vesicles	"Endoplasmic reticulum"	"HPA004000: AB_1844584"	"prognostic unfavorable (1.14e-4)"	"prognostic unfavorable (2.25e-4)"	"unprognostic (1.32e-3)"	"unprognostic (1.27e-1)"	"unprognostic (2.86e-1)"	"unprognostic (1.40e-1)"	"prognostic unfavorable (7.21e-6)"	"unprognostic (5.77e-2)"	"unprognostic (1.55e-1)"	"unprognostic (1.48e-2)"	"prognostic unfavorable (2.52e-5)"	"unprognostic (5.83e-2)"	"prognostic unfavorable (3.99e-4)"	"unprognostic (2.80e-1)"	"unprognostic (5.76e-2)"	"unprognostic (2.27e-1)"	"unprognostic (1.23e-2)"
