,SHAP_mean,Abundance_rank,Abundance_mean,Abundance_std,description,SHAP_rank,Group
Q14315,-0.02796926829246086,9.0,0.5944149913232929,0.32805229540600694,Filamin-C ,149.0,OV_endometrioid
Q9UGI8,-0.0405926820274846,6.0,0.5358458521874009,0.2756902212035717,Testin ,150.0,OV_endometrioid
Q8TBX8,-0.04163361735420226,6.0,0.2984288109026765,0.16302790152505464,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma ,151.0,OV_endometrioid
P27105,-0.04181389967027026,12.0,0.7113896553152887,0.11778706792776136,Stomatin ,152.0,OV_endometrioid
Q9UIQ6,-0.05158477293716278,11.0,0.6472154997193604,0.15868884532313987,Leucyl-cystinyl aminopeptidase ,153.0,OV_endometrioid
Q14151,-0.053003904698136595,7.0,0.5456735700835942,0.13729463966250902,Scaffold attachment factor B2 ,154.0,OV_endometrioid
P30038,-0.0589835168935835,8.0,0.47142425101353663,0.198515144578052,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial ",155.0,OV_endometrioid
Q9BWF3,-0.05955168529152153,2.0,0.3200427854232209,0.08467330157350818,RNA-binding protein 4 ,156.0,OV_endometrioid
Q7Z2K8,-0.0666847239682526,12.0,0.4907267443288433,0.09641435069493073,G protein-regulated inducer of neurite outgrowth 1 ,157.0,OV_endometrioid
Q8IWE2,-0.0669227563532558,5.0,0.33526996117673064,0.2792774078356723,Protein NOXP20 ,158.0,OV_endometrioid
Q9UJC3,-0.09308213118762132,12.0,0.6428167865092452,0.34348314012924813,Protein Hook homolog 1 ,159.0,OV_endometrioid
Q9UKN8,-0.13365389015762913,14.0,0.6787639107768131,0.13702962960626144,General transcription factor 3C polypeptide 4 ,160.0,OV_endometrioid
Q15555,-0.14296547405032894,10.0,0.5355068408698755,0.06946831240136757,Microtubule-associated protein RP/EB family member 2 ,161.0,OV_endometrioid
Q14116,0.6149517936246776,15.0,0.9454954095469281,0.03560186815323849,Interleukin-18 ,1.0,SCC
Q6WKZ4,0.5775879176367168,15.0,0.8545398137235937,0.1338697495095665,Rab11 family-interacting protein 1 ,2.0,SCC
Q9NZN4,0.48641131177128416,14.0,0.8516138414828738,0.06886514259975907,EH domain-containing protein 2 ,3.0,SCC
Q8TBX8,0.47384982384134755,15.0,0.8914917593897613,0.11668788972309413,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma ,4.0,SCC
P19174,0.454022332961745,2.0,0.13080711187260485,0.06895680237539134,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 ",5.0,SCC
Q9UIQ6,0.44800587291335,2.0,0.23310332393221875,0.029130543775005586,Leucyl-cystinyl aminopeptidase ,6.0,SCC
Q92616,0.4318384783442853,1.0,0.23516804050794143,0.2145790792880536,eIF-2-alpha kinase activator GCN1 ,7.0,SCC
Q9UKN8,0.3902706440776106,5.0,0.2232214605240168,0.1894660185058199,General transcription factor 3C polypeptide 4 ,8.0,SCC
Q8WUF5,0.37458448569671754,15.0,0.8724209707874389,0.1865825918253218,RelA-associated inhibitor ,9.0,SCC
Q9NS86,0.3639107565857532,15.0,0.8336556816427683,0.2596504831563705,LanC-like protein 2 ,10.0,SCC
Q9BZQ8,0.3579803416738699,14.0,0.8859777212224621,0.0632136446265112,Protein Niban 1 ,11.0,SCC
Q8IWE2,0.3420222045409237,14.0,0.8704593633920261,0.038113199050499515,Protein NOXP20 ,12.0,SCC
Q9NTX5,0.3261100193059299,2.0,0.20041216395941835,0.1444157786571787,Ethylmalonyl-CoA decarboxylase ,13.0,SCC
P20700,0.3128424197155331,1.0,0.1453175326072526,0.12287451579720253,Lamin-B1,14.0,SCC
P16144,0.31267082847544414,15.0,0.7403025033050089,0.1142903374453533,Integrin beta-4 ,15.0,SCC
Q08211,0.2975826562479492,2.0,0.19805209967224,0.2056299987440053,ATP-dependent RNA helicase A ,16.0,SCC
Q8TEM1,0.2693694163349071,2.0,0.21071268082092381,0.1548309814829482,Nuclear pore membrane glycoprotein 210 ,17.0,SCC
P27105,0.2633742730491853,3.0,0.22268323717138533,0.029154524190929922,Stomatin ,18.0,SCC
P48681,0.2609106503794577,2.0,0.16198343694040931,0.10242006038089727,Nestin,19.0,SCC
Q15029,0.2607442688122807,2.0,0.24846289497252813,0.1265294892138166,116 kDa U5 small nuclear ribonucleoprotein component ,20.0,SCC
P26006,0.2580307216157106,14.0,0.737221731399034,0.10265078643168331,Integrin alpha-3 ,21.0,SCC
Q3KQU3,0.2405881405247107,15.0,0.8354639122403377,0.026044710753053476,MAP7 domain-containing protein 1 ,22.0,SCC
P20962,0.22959550006451326,3.0,0.2371504927141118,0.06428048594824291,Parathymosin,23.0,SCC
Q14315,0.22690443028935053,2.0,0.2666942788760902,0.14987691232359948,Filamin-C ,24.0,SCC
Q9BZK3,0.2255606895143087,12.0,0.8048083112891312,0.10201802527819623,Putative nascent polypeptide-associated complex subunit alpha-like protein ,25.0,SCC
Q12965,0.22038127274229868,15.0,0.8382678353509851,0.19326653902244448,Unconventional myosin-Ie ,26.0,SCC
P43121,0.2180786862813638,1.0,0.21634281790700513,0.07084848502175167,Cell surface glycoprotein MUC18 ,27.0,SCC
P46821,0.20530533654471098,3.0,0.2566856455497049,0.0931232560277235,Microtubule-associated protein 1B ,28.0,SCC
Q9BST9,0.19373235195572305,15.0,0.7311664456371435,0.20377898772467348,Rhotekin,29.0,SCC
O95817,0.18999935041997323,15.0,0.8333647171909779,0.11210393966658702,BAG family molecular chaperone regulator 3 ,30.0,SCC
Q6NZI2,0.1899710328348387,13.0,0.9003851003572361,0.0274193373905961,Caveolae-associated protein 1 ,31.0,SCC
P80723,0.18524438398952536,1.0,0.3524660934518017,0.05689444906650031,Brain acid soluble protein 1 ,32.0,SCC
P26447,0.1812686007570447,3.0,0.20908695617611445,0.06934522917733303,Protein S100-A4 ,33.0,SCC
P29373,0.18054593981782002,2.0,0.27540834069551173,0.023929009149023826,Cellular retinoic acid-binding protein 2 ,34.0,SCC
P11498,0.18052725776704817,2.0,0.30220578864995684,0.12004102173292765,"Pyruvate carboxylase, mitochondrial ",35.0,SCC
P08648,0.1779273194478655,14.0,0.6919925624313686,0.06515128285918215,Integrin alpha-5 ,36.0,SCC
Q16352,0.17521486437711276,2.0,0.1905276184237678,0.03174819883230517,Alpha-internexin ,37.0,SCC
Q9UGI8,0.17129185593732546,15.0,0.8083230470022723,0.029576947303963506,Testin ,38.0,SCC
Q8TDZ2,0.1699453335766348,2.0,0.20410276085868562,0.1017872399732883,[F-actin]-monooxygenase MICAL1 ,39.0,SCC
O00154,0.16788462022211856,13.0,0.7227970174993054,0.2078424568362748,Cytosolic acyl coenzyme A thioester hydrolase ,40.0,SCC
P78527,0.16348529558904432,2.0,0.5270183820786605,0.05305747166138473,DNA-dependent protein kinase catalytic subunit ,41.0,SCC
Q08380,0.1616837909987867,15.0,0.8360952018766776,0.13339209694759982,Galectin-3-binding protein ,42.0,SCC
P31947,0.1547684922101233,15.0,0.8066128038698762,0.009771757858896604,14-3-3 protein sigma ,43.0,SCC
P48960,0.15083471872199897,12.0,0.7312345423677412,0.07092027293853508,Adhesion G protein-coupled receptor E5 ,44.0,SCC
Q53EP0,0.15037206337892167,2.0,0.15513233600621223,0.19360277575728937,Fibronectin type III domain-containing protein 3B ,45.0,SCC
Q8IVF2,0.1464214311815275,4.0,0.27659956282970743,0.3157905630585669,Protein AHNAK2,46.0,SCC
Q9Y446,0.14371581012874776,15.0,0.820682402918397,0.07632726999066514,Plakophilin-3,47.0,SCC
Q15555,0.14289831381449464,2.0,0.2832308215264446,0.14800944385379314,Microtubule-associated protein RP/EB family member 2 ,48.0,SCC
P17301,0.14107925565209944,15.0,0.9340593208371795,0.12922841893916714,Integrin alpha-2 ,49.0,SCC
O75475,0.1393030443848568,4.0,0.34328426671892426,0.13091268111408458,PC4 and SFRS1-interacting protein ,50.0,SCC
O60264,0.13788480602612702,4.0,0.36951607110703744,0.2172803911873166,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 ,51.0,SCC
Q96RS6,0.13653458418211306,15.0,0.853527644373844,0.170491289762001,NudC domain-containing protein 1 ,52.0,SCC
Q9Y5V3,0.13363715301827034,4.0,0.19078087606098554,0.1837987913541082,Melanoma-associated antigen D1 ,53.0,SCC
Q8NI08,0.13356543563673454,1.0,0.1707314248333737,0.05179689659216739,Nuclear receptor coactivator 7 ,54.0,SCC
P78417,0.13097624098011,11.0,0.6833025267881265,0.16955365667300445,Glutathione S-transferase omega-1 ,55.0,SCC
Q99943,0.12939593266670835,1.0,0.1630183887125683,0.0741796082044716,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha ,56.0,SCC
Q9UIG0,0.12889269398511885,3.0,0.20376911439969395,0.187779045751609,Tyrosine-protein kinase BAZ1B ,57.0,SCC
P08670,0.12720236186085115,1.0,0.27271165849735735,0.042387927111259834,Vimentin,58.0,SCC
O00754,0.12287983199444363,13.0,0.6423089065812129,0.10609710007338713,Lysosomal alpha-mannosidase ,59.0,SCC
P52594,0.10900931231946816,15.0,0.8638742568757662,0.06311381086913295,Arf-GAP domain and FG repeat-containing protein 1 ,60.0,SCC
Q7Z2K8,0.10856924674406146,5.0,0.2973306932404785,0.24911037371475933,G protein-regulated inducer of neurite outgrowth 1 ,61.0,SCC
O75828,0.10806436789781451,14.0,0.7130979963811497,0.12633781305334785,Carbonyl reductase [NADPH] 3 ,62.0,SCC
P31146,0.10662836187990524,2.0,0.15901308702351186,0.1531221835714108,Coronin-1A ,63.0,SCC
P40121,0.10324436661122172,5.0,0.23688350962338353,0.1714708382634832,Macrophage-capping protein ,64.0,SCC
Q92922,0.09938155044709,4.0,0.2864085671561897,0.1818524289939367,SWI/SNF complex subunit SMARCC1 ,65.0,SCC
Q9UKK3,0.09905929529143687,6.0,0.3472972244090937,0.29240918671854627,Protein mono-ADP-ribosyltransferase PARP4 ,66.0,SCC
O75976,0.09742495070338988,4.0,0.23792355936120835,0.20809444923964784,Carboxypeptidase D ,67.0,SCC
Q02952,0.09436767756436618,7.0,0.36168880703995016,0.27604248848883467,A-kinase anchor protein 12 ,68.0,SCC
Q9Y5Q9,0.092400108196601,1.0,0.15783001206237374,0.09303155686909706,General transcription factor 3C polypeptide 3 ,69.0,SCC
P51452,0.09226475327645671,3.0,0.16803747861834398,0.051800530137739255,Dual specificity protein phosphatase 3 ,70.0,SCC
P11388,0.08853496354415787,4.0,0.24959766614361603,0.28786685289250863,DNA topoisomerase 2-alpha ,71.0,SCC
O00592,0.08673287785781437,12.0,0.7077087822063289,0.06402704147634618,Podocalyxin ,72.0,SCC
P20290,0.08339810215955186,11.0,0.6917896455470299,0.3332807744920561,Transcription factor BTF3 ,73.0,SCC
P32004,0.07846466428154776,14.0,0.5979096976077937,0.2972976365433055,Neural cell adhesion molecule L1 ,74.0,SCC
Q9Y5B9,0.07142966968260268,4.0,0.5012824377972238,0.12981979046902256,FACT complex subunit SPT16 ,75.0,SCC
P30038,0.06911074355020053,2.0,0.2460204811346293,0.22196053246554848,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial ",76.0,SCC
O75533,0.06670494622476561,3.0,0.46853571888887224,0.054409190526027745,Splicing factor 3B subunit 1 ,77.0,SCC
Q96CX2,0.06506078867026706,6.0,0.24829845960408137,0.12439855185516971,BTB/POZ domain-containing protein KCTD12 ,78.0,SCC
Q9UHD8,0.06447368989835707,1.0,0.14301150131223456,0.1800240436319136,Septin-9 ,79.0,SCC
Q9BW60,0.05842005489007183,4.0,0.39574137312557145,0.28288048031302676,Elongation of very long chain fatty acids protein 1 ,80.0,SCC
Q9Y490,0.058267423683383425,3.0,0.5535140352556851,0.10860421141441295,Talin-1,81.0,SCC
P21266,0.055852293784800625,4.0,0.2441568919920949,0.15212812601626993,Glutathione S-transferase Mu 3 ,82.0,SCC
O00425,0.05050015946092018,9.0,0.7797401150537716,0.023541912232009493,Insulin-like growth factor 2 mRNA-binding protein 3 ,83.0,SCC
Q15393,0.04840924736071718,3.0,0.44686632173453544,0.09641514828403587,Splicing factor 3B subunit 3 ,84.0,SCC
P07948,0.047926192337334104,2.0,0.16577597685646922,0.03659123286140826,Tyrosine-protein kinase Lyn ,85.0,SCC
Q10589,0.045623663320739444,14.0,0.7649870513812587,0.24920994876566943,Bone marrow stromal antigen 2 ,86.0,SCC
P21980,0.04410040517341381,12.0,0.7023963778581882,0.042694016850642884,Protein-glutamine gamma-glutamyltransferase 2 ,87.0,SCC
Q9NUQ3,0.04183468424479629,5.0,0.519575483042696,0.23793510638618198,Gamma-taxilin ,88.0,SCC
Q01970,0.04132502761969058,14.0,0.7870346257457992,0.14658380778740726,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 ",89.0,SCC
Q9BWF3,0.03894682605408237,11.0,0.566327740021029,0.3363533186641801,RNA-binding protein 4 ,90.0,SCC
O43707,0.03374208498268253,15.0,0.8246236356422969,0.22752346374961727,Alpha-actinin-4 ,91.0,SCC
A0MZ66,0.03212211903591165,15.0,0.789561704864598,0.04120946520352353,Shootin-1 ,92.0,SCC
P62805,0.030310550120730178,1.0,0.363982966363859,0.15411274440251185,Histone H4,93.0,SCC
P04083,0.029957930904357062,12.0,0.7925173538905342,0.003707439084505396,Annexin A1 ,94.0,SCC
O43719,0.029938823946574877,11.0,0.5885170422415984,0.03323267333494425,HIV Tat-specific factor 1 ,95.0,SCC
Q13151,0.02977998244603296,3.0,0.3630480550244493,0.25976239613543983,Heterogeneous nuclear ribonucleoprotein A0 ,96.0,SCC
P29218,0.02792247344923134,8.0,0.418144602955241,0.30387810739581333,Inositol monophosphatase 1 ,97.0,SCC
P11766,0.027638058532098147,11.0,0.6146853107149723,0.07085924860276668,Alcohol dehydrogenase class-3 ,98.0,SCC
Q14247,0.027417675369473215,15.0,0.8382585985395021,0.0927782851750059,Src substrate cortactin ,99.0,SCC
Q96HQ2,0.022524259617731097,3.0,0.2529457429337195,0.14618839852810223,CDKN2AIP N-terminal-like protein ,100.0,SCC
P26038,0.021938482791783794,6.0,0.7748566274743757,0.06170883036130601,Moesin ,101.0,SCC
P48735,0.021526566145500615,6.0,0.6099069591993728,0.22909092994983746,"Isocitrate dehydrogenase [NADP], mitochondrial ",102.0,SCC
Q8IYS1,0.021404281874768387,12.0,0.568163741119146,0.1080904770460307,Peptidase M20 domain-containing protein 2 ,103.0,SCC
P16401,0.02119019042082932,1.0,0.4380753713961828,0.2580911142727165,Histone H1.5 ,104.0,SCC
P16403,0.0208264164022676,5.0,0.48028697641583146,0.2268927882154093,Histone H1.2 ,105.0,SCC
Q96DG6,0.019668255409941986,3.0,0.3614997317772895,0.1904253760628746,Carboxymethylenebutenolidase homolog ,106.0,SCC
Q9UQE7,0.019384346540735085,3.0,0.5421852153956069,0.16969822715334024,Structural maintenance of chromosomes protein 3 ,107.0,SCC
Q9NU22,0.01892766075712164,3.0,0.1728606257907966,0.1232265058528915,Midasin ,108.0,SCC
P05091,0.017605254897254053,11.0,0.6148676850774262,0.02272288125144808,"Aldehyde dehydrogenase, mitochondrial ",109.0,SCC
Q9UDT6,0.016754764195230032,8.0,0.36698533973600517,0.19656943212574562,CAP-Gly domain-containing linker protein 2 ,110.0,SCC
P15924,0.015360618076334428,11.0,0.7086963434734603,0.12092506348786543,Desmoplakin ,111.0,SCC
P16989,0.012335789126569009,11.0,0.7756153078390107,0.15301611571868734,Y-box-binding protein 3 ,112.0,SCC
Q15459,0.011959982477224313,3.0,0.3513080439118843,0.20513019143624855,Splicing factor 3A subunit 1 ,113.0,SCC
P11047,0.011255144247425705,7.0,0.5949035913605916,0.2160151213072406,Laminin subunit gamma-1 ,114.0,SCC
P17655,0.011007906961908828,13.0,0.8023052361891093,0.3290704360250389,Calpain-2 catalytic subunit ,115.0,SCC
Q8IVT2,0.010414593552949929,8.0,0.3685003028767325,0.20862806931082647,Mitotic interactor and substrate of PLK1 ,116.0,SCC
P05783,0.009521879605717215,10.0,0.5098403480607043,0.13999992597607297,"Keratin, type I cytoskeletal 18 ",117.0,SCC
P32119,0.008863540270262931,8.0,0.5898596430035523,0.028234990688872752,Peroxiredoxin-2 ,118.0,SCC
Q8NBS9,0.008287511577566905,3.0,0.4738987357556302,0.14146931132925486,Thioredoxin domain-containing protein 5 ,119.0,SCC
P05787,0.007498753100268901,13.0,0.6800608373226487,0.09826941419440217,"Keratin, type II cytoskeletal 8 ",120.0,SCC
Q15149,0.0072173781621558296,5.0,0.38333679710488444,0.25227993407973204,Plectin ,121.0,SCC
P62877,0.006984796480218274,15.0,0.8182296396956543,0.2120798584344125,E3 ubiquitin-protein ligase RBX1 ,122.0,SCC
O60701,0.0069028680937869985,2.0,0.507167816863345,0.05575442497874318,UDP-glucose 6-dehydrogenase ,123.0,SCC
P14923,0.006037610645939319,13.0,0.7460482131331987,0.10309217935214432,Junction plakoglobin ,124.0,SCC
Q08J23,0.005248966680784441,12.0,0.6285481117684897,0.13234160874563336,RNA cytosine C,125.0,SCC
P23246,0.003908045043823456,3.0,0.32195535478767007,0.12375626493620616,"Splicing factor, proline- and glutamine-rich ",126.0,SCC
P35580,0.0036387059713388023,6.0,0.6317616049454948,0.09997644342961318,Myosin-10 ,127.0,SCC
Q9HC35,0.0026402530432248473,11.0,0.3456574829099648,0.2564639922557816,Echinoderm microtubule-associated protein-like 4 ,128.0,SCC
Q07065,0.0020083070914030453,7.0,0.8383878557125218,0.06192771217994493,Cytoskeleton-associated protein 4 ,129.0,SCC
Q14126,0.0012987817861189548,9.0,0.5624815404124022,0.21120502265659014,Desmoglein-2 ,130.0,SCC
P29350,0.000969215079210825,6.0,0.35039507703726913,0.2482276804911778,Tyrosine-protein phosphatase non-receptor type 6 ,131.0,SCC
Q7L5N7,-0.0015294640841631128,14.0,0.7524573982365808,0.34370463381652083,Lysophosphatidylcholine acyltransferase 2 ,132.0,SCC
P12270,-0.0043708457920479445,3.0,0.4393377624108747,0.21382127331924242,Nucleoprotein TPR ,133.0,SCC
Q9UJC3,-0.00539300821496768,9.0,0.5623072050756255,0.2819585690184379,Protein Hook homolog 1 ,134.0,SCC
P12956,-0.005397627054353308,11.0,0.5759169932817085,0.025933535092085153,X-ray repair cross-complementing protein 6 ,135.0,SCC
P50552,-0.008012212101816879,4.0,0.48262733578372397,0.28489468914360133,Vasodilator-stimulated phosphoprotein ,136.0,SCC
Q16762,-0.009490208817923956,12.0,0.6075296650229799,0.06840595608689795,Thiosulfate sulfurtransferase ,137.0,SCC
Q14676,-0.010762801256506858,4.0,0.2597424653104132,0.13914244383626798,Mediator of DNA damage checkpoint protein 1 ,138.0,SCC
Q99959,-0.011425675712774969,5.0,0.3352545891883292,0.2855173203698686,Plakophilin-2,139.0,SCC
P09382,-0.012604383488358123,9.0,0.7213425234845425,0.12034334753383293,Galectin-1 ,140.0,SCC
P18206,-0.016313458883516492,9.0,0.8297286861261988,0.13496663528448422,Vinculin ,141.0,SCC
P30740,-0.01778367957453459,14.0,0.7601074306787068,0.08173480104329728,Leukocyte elastase inhibitor ,142.0,SCC
P35998,-0.01979761734565001,11.0,0.8659304755200011,0.15905452366073355,26S proteasome regulatory subunit 7 ,143.0,SCC
Q9NZM1,-0.020080538681175996,15.0,0.838829571722002,0.07469342344950272,Myoferlin ,144.0,SCC
P19367,-0.02174267321825136,7.0,0.7921755432648624,0.07938031588455166,Hexokinase-1 ,145.0,SCC
Q99584,-0.02193170203347212,12.0,0.7069663983363923,0.04866969409980388,Protein S100-A13 ,146.0,SCC
Q96TA1,-0.022679163684221466,13.0,0.780113362057928,0.05243136959518594,Protein Niban 2 ,147.0,SCC
P61978,-0.02268242982786459,8.0,0.4981867266649667,0.25907670191343385,Heterogeneous nuclear ribonucleoprotein K ,148.0,SCC
Q16658,-0.02352352651799938,4.0,0.6025726680935584,0.19142220047447803,Fascin ,149.0,SCC
P00338,-0.024360364798877942,13.0,0.8267512901218014,0.04079073271122163,L-lactate dehydrogenase A chain ,150.0,SCC
Q14764,-0.024805327942568962,11.0,0.7895570795679294,0.05674369309523985,Major vault protein ,151.0,SCC
Q9UHR4,-0.0294916300327555,12.0,0.5762104917623572,0.2598293769293661,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 ,152.0,SCC
P46013,-0.02969357605829374,7.0,0.46280720571402645,0.3339714759469283,Proliferation marker protein Ki-67 ,153.0,SCC
P12814,-0.03140254324866182,14.0,0.700038401473997,0.31018843410237584,Alpha-actinin-1 ,154.0,SCC
Q9NR30,-0.034100234146717964,3.0,0.5241411923470484,0.17818942565880033,Nucleolar RNA helicase 2 ,155.0,SCC
Q92820,-0.040825471653928976,13.0,0.8106559814528904,0.12238520571933978,Gamma-glutamyl hydrolase ,156.0,SCC
Q14151,-0.06282342803946271,4.0,0.3003918908410858,0.24589355093173745,Scaffold attachment factor B2 ,157.0,SCC
Q8N392,-0.06311762581895665,10.0,0.5973760545532145,0.21203626675414738,Rho GTPase-activating protein 18 ,158.0,SCC
Q9Y223,-0.06735500738551507,9.0,0.5481216085356907,0.3608211150312718,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase ,159.0,SCC
P49720,-0.06898324729202668,9.0,0.5796790109184025,0.27175149798181714,Proteasome subunit beta type-3 ,160.0,SCC
Q9Y5Z4,-0.15959787417446705,14.0,0.8302687892964972,0.050124835139240036,Heme-binding protein 2 ,161.0,SCC
P26006,0.9951165074083302,15.0,0.8161798070451496,0.10925406587647087,Integrin alpha-3 ,1.0,glioblastoma
Q8IWE2,0.5037328955413454,13.0,0.8239867574689062,0.10896658394614687,Protein NOXP20 ,2.0,glioblastoma
P35580,0.472982824473786,3.0,0.4350872769946399,0.22944656605082545,Myosin-10 ,3.0,glioblastoma
Q8WUF5,0.4431390207077814,5.0,0.22050022204032338,0.14506972742279942,RelA-associated inhibitor ,4.0,glioblastoma
Q9Y5Q9,0.43693926459615645,15.0,0.7618621142641718,0.06374182930024265,General transcription factor 3C polypeptide 3 ,5.0,glioblastoma
P30038,0.42781947684763544,1.0,0.12309319621741022,0.029449101241911652,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial ",6.0,glioblastoma
Q9UGI8,0.4239158044945809,1.0,0.33571509210407086,0.11353109982354,Testin ,7.0,glioblastoma
P48960,0.41452100064795994,13.0,0.774066617034206,0.07858292828871834,Adhesion G protein-coupled receptor E5 ,8.0,glioblastoma
Q15149,0.4004172917604342,15.0,0.7934963257126052,0.12157260180702427,Plectin ,9.0,glioblastoma
P46821,0.3878960383347615,12.0,0.7909879262863604,0.08210358962407847,Microtubule-associated protein 1B ,10.0,glioblastoma
Q16762,0.3722056589503561,1.0,0.1635998260504267,0.1268981586073826,Thiosulfate sulfurtransferase ,11.0,glioblastoma
P14923,0.3699594915398839,2.0,0.3132488070382635,0.06985093686619451,Junction plakoglobin ,12.0,glioblastoma
Q8TEM1,0.3684634032626467,3.0,0.22299693900790185,0.04307950778231335,Nuclear pore membrane glycoprotein 210 ,13.0,glioblastoma
P12814,0.3590678838887901,15.0,0.7200142957662626,0.1580794973351208,Alpha-actinin-1 ,14.0,glioblastoma
P62805,0.3556396916960078,5.0,0.5598412045976898,0.061457177454623785,Histone H4,15.0,glioblastoma
A0MZ66,0.34857927493784746,3.0,0.2923983061425659,0.10168804526589399,Shootin-1 ,16.0,glioblastoma
Q9BZQ8,0.32425165608653794,13.0,0.7755704158919465,0.29946476215701295,Protein Niban 1 ,17.0,glioblastoma
P78417,0.31694407145256387,13.0,0.8356771481354446,0.09286744986442923,Glutathione S-transferase omega-1 ,18.0,glioblastoma
P15924,0.311795184571248,2.0,0.32183228272011744,0.043895456421910624,Desmoplakin ,19.0,glioblastoma
P07948,0.2915086637810068,1.0,0.13724576822206247,0.057956432679858755,Tyrosine-protein kinase Lyn ,20.0,glioblastoma
Q9NZN4,0.2659526498473344,13.0,0.7648211931354425,0.07519244306328217,EH domain-containing protein 2 ,21.0,glioblastoma
Q53EP0,0.2521395467905777,4.0,0.24492209859477532,0.3076782391690158,Fibronectin type III domain-containing protein 3B ,22.0,glioblastoma
P08670,0.24858907468093067,15.0,0.7950369464711743,0.11732301975808279,Vimentin,23.0,glioblastoma
P11388,0.24041647022646923,5.0,0.318641464903312,0.14049304447255548,DNA topoisomerase 2-alpha ,24.0,glioblastoma
P16144,0.23252994902097127,4.0,0.15644155562954287,0.04391232127964047,Integrin beta-4 ,25.0,glioblastoma
Q14151,0.22976025258259067,14.0,0.6957949583478875,0.034995130521568385,Scaffold attachment factor B2 ,26.0,glioblastoma
Q8TBX8,0.22260152317803397,1.0,0.13239284609009516,0.16415990631604768,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma ,27.0,glioblastoma
P46013,0.21975651363450427,5.0,0.3384446600460217,0.11628620439518418,Proliferation marker protein Ki-67 ,28.0,glioblastoma
Q9Y223,0.2071256037675015,13.0,0.6796404190871165,0.10608971975981761,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase ,29.0,glioblastoma
Q14764,0.20646091309954154,14.0,0.8686527373272905,0.10585335625916607,Major vault protein ,30.0,glioblastoma
O75828,0.19609290344424674,13.0,0.7058700706346505,0.11289344392445624,Carbonyl reductase [NADPH] 3 ,31.0,glioblastoma
Q9UKN8,0.18583953461651764,7.0,0.2927585363527295,0.11745750928027522,General transcription factor 3C polypeptide 4 ,32.0,glioblastoma
Q7L5N7,0.1670489988172207,2.0,0.2040685365035623,0.07364023154963341,Lysophosphatidylcholine acyltransferase 2 ,33.0,glioblastoma
P20962,0.16668463324768396,13.0,0.6571849472883475,0.18472353727448115,Parathymosin,34.0,glioblastoma
Q9UDT6,0.16435980017431057,13.0,0.6046253302547324,0.07570477010442198,CAP-Gly domain-containing linker protein 2 ,35.0,glioblastoma
Q14116,0.1623859773513444,1.0,0.2153227319179011,0.04536786978727412,Interleukin-18 ,36.0,glioblastoma
P09382,0.16087965787479158,13.0,0.9251721776298062,0.10900062076326454,Galectin-1 ,37.0,glioblastoma
P49720,0.15587461045636428,15.0,0.8105733869893175,0.0927533003447318,Proteasome subunit beta type-3 ,38.0,glioblastoma
Q7Z2K8,0.15365903490311225,2.0,0.1510017351906452,0.05224295759181325,G protein-regulated inducer of neurite outgrowth 1 ,39.0,glioblastoma
P20700,0.14899889258671778,11.0,0.6931849007664856,0.08588819234475675,Lamin-B1,40.0,glioblastoma
Q08J23,0.14718848864618622,4.0,0.4410348066668052,0.15427940385802225,RNA cytosine C,41.0,glioblastoma
P11766,0.14602015798232465,14.0,0.7113020789135119,0.04251908104612973,Alcohol dehydrogenase class-3 ,42.0,glioblastoma
Q9Y5Z4,0.14284561470238205,3.0,0.29078320877406727,0.14292563661819813,Heme-binding protein 2 ,43.0,glioblastoma
Q92922,0.1367238062894677,3.0,0.2542185853395444,0.1330340074647984,SWI/SNF complex subunit SMARCC1 ,44.0,glioblastoma
Q07065,0.13535031369418898,2.0,0.696455393735188,0.14828941701575557,Cytoskeleton-associated protein 4 ,45.0,glioblastoma
P27105,0.13517414302998812,11.0,0.7081501745788732,0.07303779236668176,Stomatin ,46.0,glioblastoma
Q9UJC3,0.1346873939654613,1.0,0.2742518811158927,0.08364040225377359,Protein Hook homolog 1 ,47.0,glioblastoma
P48681,0.13270993268480666,13.0,0.7939972499292571,0.13654068959317864,Nestin,48.0,glioblastoma
Q96HQ2,0.12928667106611877,5.0,0.38801428667725274,0.2577918708923464,CDKN2AIP N-terminal-like protein ,49.0,glioblastoma
P05787,0.12670005127441236,6.0,0.4182710427120785,0.07065438175854846,"Keratin, type II cytoskeletal 8 ",50.0,glioblastoma
Q96DG6,0.12544944144571107,13.0,0.6713352395378689,0.22051374518256395,Carboxymethylenebutenolidase homolog ,51.0,glioblastoma
